----- [collect_eva_numbers.py] Start:2025-06-03 00:18:19 ------
2025-06-02 22:18:19 INFO started collecting EVA-Numbers
2025-06-02 22:18:22 INFO 200: Connection successfull after 0 attempts
2025-06-02 22:18:22 INFO Successfully collected EVA-Numbers
----- [collect_eva_numbers.py] End:2025-06-03 00:18:22 ------
----- [collect_api_data.py] Start:2025-06-03 00:18:23 ------
2025-06-02 22:18:23 INFO Data collection started.
2025-06-02 22:26:45 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8001627/250603/04
2025-06-02 22:26:48 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8001627/250603/05
2025-06-02 22:26:51 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8001628/250603/00
2025-06-02 22:26:54 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8001628/250603/01
2025-06-02 22:26:58 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8001628/250603/02
2025-06-02 22:27:13 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8001628/250603/03
2025-06-02 22:27:18 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8001628/250603/04
2025-06-02 22:27:21 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8001628/250603/05
2025-06-02 22:27:24 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8001629/250603/00
2025-06-02 22:27:28 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8001629/250603/01
2025-06-02 22:27:43 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8001629/250603/02
2025-06-02 22:27:46 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8001629/250603/03
2025-06-02 22:27:52 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8001629/250603/04
2025-06-02 22:27:55 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8001629/250603/05
2025-06-02 22:27:58 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8001634/250603/00
2025-06-02 22:28:13 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8001634/250603/01
2025-06-02 22:28:25 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8001634/250603/02
2025-06-02 22:28:29 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8001634/250603/03
2025-06-02 22:28:32 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8001634/250603/04
2025-06-02 22:28:44 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8001634/250603/05
2025-06-02 22:28:57 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8001636/250603/00
2025-06-02 22:29:00 ERROR Failed to collect data for https://apis.deutschebahn.com/db-api-marketplace/apis/timetables/v1/plan/8001636/250603/01
